term,coefficient,std_error,t_stat,train_n,train_r2,train_adj_r2,train_rmse,test_n,test_r2,test_rmse,test_mae
intercept,1361.919106988198,344.4519725409753,3.953872282807691,24,0.3411962298086113,0.2784530135999076,77.76789129684238,18.0,-2.2188855746527647,155.1092027879089,125.56023237336257
adp_initial_change_thousands,0.2145005161322473,0.21660542554539086,0.9902822867532353,24,0.3411962298086113,0.2784530135999076,77.76789129684238,18.0,-2.2188855746527647,155.1092027879089,125.56023237336257
claims_avg_mixed_count,-0.005226231618306154,0.0016310515381953118,-3.2042099810584492,24,0.3411962298086113,0.2784530135999076,77.76789129684238,18.0,-2.2188855746527647,155.1092027879089,125.56023237336257
