model,equation,start_target_date,end_target_date,term,coefficient,std_error,t_stat,p_value,n,r2,adj_r2,rmse,mae
step1_adp_to_payems_actual,PAYEMS_actual = alpha + beta * ADP_actual,2022-08-01,2026-06-01,intercept,144.88373074953793,26.29056513884708,5.5108640679411245,1.7567237052625603e-06,46,0.10539093050229675,0.0850589061955308,99.40034341452927,71.97556954234086
step1_adp_to_payems_actual,PAYEMS_actual = alpha + beta * ADP_actual,2022-08-01,2026-06-01,adp_actual,0.35588302430726065,0.1563133113157199,2.2767288422957916,0.02772054062449884,46,0.10539093050229675,0.0850589061955308,99.40034341452927,71.97556954234086
