model,equation,term,coefficient,std_error,t_stat,p_value,n,r2,adj_r2,rmse,mae,start_target_date,end_target_date
model2_government_adp_claims,USGOVT_initial_k = alpha + beta1 * ADP_initial_k + beta2 * claims_avg_k,intercept,10.47692284709737,109.59087923310766,0.09560031747543703,0.9242821623840387,46,0.07976549874996486,0.036963894040660805,37.022110522047555,25.42707623319158,2022-09-01,2026-06-01
model2_government_adp_claims,USGOVT_initial_k = alpha + beta1 * ADP_initial_k + beta2 * claims_avg_k,ADPMNUSNERSA_initial_change_k,0.11268054227955619,0.058672052608678214,1.9205147471334514,0.06144050207404726,46,0.07976549874996486,0.036963894040660805,37.022110522047555,25.42707623319158,2022-09-01,2026-06-01
model2_government_adp_claims,USGOVT_initial_k = alpha + beta1 * ADP_initial_k + beta2 * claims_avg_k,claims_avg_mixed_thousands,-0.0139085797367718,0.49914841213035777,-0.027864617814589845,0.9778990517456319,46,0.07976549874996486,0.036963894040660805,37.022110522047555,25.42707623319158,2022-09-01,2026-06-01
model2_private_ar1_claims,USPRIV_initial_k = alpha + beta1 * USPRIV_lag1_initial_k + beta2 * claims_avg_k,intercept,755.8874270655451,246.14696413004668,3.070878528756453,0.003692205837788775,46,0.24004705005456206,0.20470040121989042,80.75721654393678,59.34651047617449,2022-09-01,2026-06-01
model2_private_ar1_claims,USPRIV_initial_k = alpha + beta1 * USPRIV_lag1_initial_k + beta2 * claims_avg_k,USPRIV_initial_lag1_change_k,0.2821221518414123,0.13337332165199584,2.115281739608609,0.040238240580459904,46,0.24004705005456206,0.20470040121989042,80.75721654393678,59.34651047617449,2022-09-01,2026-06-01
model2_private_ar1_claims,USPRIV_initial_k = alpha + beta1 * USPRIV_lag1_initial_k + beta2 * claims_avg_k,claims_avg_mixed_thousands,-2.906604753416978,1.0944900762760383,-2.655670267296157,0.011057498068998018,46,0.24004705005456206,0.20470040121989042,80.75721654393678,59.34651047617449,2022-09-01,2026-06-01
