series_id,date,event_type,revision_vintage_date,previous_vintage_date,previous_value,revised_value,revision_delta
PAYEMS,2026-02-01,revision,2026-04-03,2026-03-06,158466,158459,-7.0
PAYEMS,2026-02-01,revision,2026-05-08,2026-04-03,158459,158436,-23.0
PAYEMS,2026-03-01,initial_or_first_available_in_window,2026-04-03,,,158637,
PAYEMS,2026-03-01,revision,2026-05-08,2026-04-03,158637,158621,-16.0
PAYEMS,2026-03-01,revision,2026-06-05,2026-05-08,158621,158650,29.0
PAYEMS,2026-04-01,initial_or_first_available_in_window,2026-05-08,,,158736,
PAYEMS,2026-04-01,revision,2026-06-05,2026-05-08,158736,158829,93.0
PAYEMS,2026-04-01,revision,2026-07-02,2026-06-05,158829,158798,-31.0
PAYEMS,2026-05-01,initial_or_first_available_in_window,2026-06-05,,,159001,
PAYEMS,2026-05-01,revision,2026-07-02,2026-06-05,159001,158927,-74.0
PAYEMS,2026-06-01,initial_or_first_available_in_window,2026-07-02,,,158984,
