series_id,date,realtime_start,realtime_end,value,value_float
PAYEMS,2026-01-01,2026-02-11,2026-03-05,158627,158627.0
PAYEMS,2026-02-01,2026-03-06,2026-04-02,158466,158466.0
PAYEMS,2026-03-01,2026-04-03,2026-05-07,158637,158637.0
PAYEMS,2026-04-01,2026-05-08,2026-06-04,158736,158736.0
PAYEMS,2026-05-01,2026-06-05,2026-07-01,159001,159001.0
PAYEMS,2026-06-01,2026-07-02,9999-12-31,158984,158984.0
