target_month,release_date,target_date,PAYEMS_Real_value,ADP_Real_value
2025-06,2025-07-03,2025-06-01,147.0,-33
2025-09,2025-11-20,2025-09-01,119.0,-32
2025-10,2025-12-16,2025-10-01,-105.0,42
2025-11,2025-12-16,2025-11-01,64.0,-32
2026-02,2026-03-06,2026-02-01,-92.0,63
