term,coefficient,std_error,t_stat,p_value,n,r2,adj_r2,rmse,mae,start_target_date,end_target_date
intercept,581.9774694040307,221.3492835639134,2.629226804052374,0.011823267672089901,46,0.12422197505096533,0.08348811342542872,74.55644916429208,56.89550262293442,2022-08-01,2026-06-01
adp_actual,0.029243039320482417,0.11960346937024606,0.24449992524846653,0.8080066299530989,46,0.12422197505096533,0.08348811342542872,74.55644916429208,56.89550262293442,2022-08-01,2026-06-01
claims_avg_mixed_thousands,-2.4923809733450075,1.0096698683114103,-2.4685107989934467,0.01762003448340374,46,0.12422197505096533,0.08348811342542872,74.55644916429208,56.89550262293442,2022-08-01,2026-06-01
