indicator,release_date,target_date,published_value,revised_value,change
ADP_monthly_change_thousands,2022-10-05,2022-08-01,132.0,185.0,53.0
ADP_monthly_change_thousands,2022-11-02,2022-08-01,185.0,132.0,-53.0
ADP_monthly_change_thousands,2022-11-02,2022-09-01,208.0,192.0,-16.0
ADP_monthly_change_thousands,2023-01-05,2022-11-01,127.0,182.0,55.0
ADP_monthly_change_thousands,2023-02-01,2022-01-01,372.0,353.0,-19.0
ADP_monthly_change_thousands,2023-02-01,2022-02-01,375.0,551.0,176.0
ADP_monthly_change_thousands,2023-02-01,2022-03-01,425.0,287.0,-138.0
ADP_monthly_change_thousands,2023-02-01,2022-04-01,457.0,198.0,-259.0
ADP_monthly_change_thousands,2023-02-01,2022-05-01,358.0,188.0,-170.0
ADP_monthly_change_thousands,2023-02-01,2022-06-01,380.0,465.0,85.0
ADP_monthly_change_thousands,2023-02-01,2022-07-01,268.0,458.0,190.0
ADP_monthly_change_thousands,2023-02-01,2022-08-01,132.0,266.0,134.0
ADP_monthly_change_thousands,2023-02-01,2022-09-01,192.0,262.0,70.0
ADP_monthly_change_thousands,2023-02-01,2022-10-01,239.0,183.0,-56.0
ADP_monthly_change_thousands,2023-02-01,2022-11-01,182.0,212.0,30.0
ADP_monthly_change_thousands,2023-02-01,2022-12-01,235.0,253.0,18.0
ADP_monthly_change_thousands,2023-03-08,2023-01-01,106.0,119.0,13.0
ADP_monthly_change_thousands,2023-04-05,2023-02-01,242.0,261.0,19.0
ADP_monthly_change_thousands,2023-05-03,2023-03-01,145.0,142.0,-3.0
ADP_monthly_change_thousands,2023-06-01,2023-04-01,296.0,291.0,-5.0
ADP_monthly_change_thousands,2023-07-06,2023-05-01,278.0,267.0,-11.0
ADP_monthly_change_thousands,2023-08-02,2023-06-01,497.0,455.0,-42.0
ADP_monthly_change_thousands,2023-08-30,2023-07-01,324.0,312.0,-12.0
ADP_monthly_change_thousands,2023-10-04,2023-08-01,177.0,180.0,3.0
ADP_monthly_change_thousands,2023-12-06,2023-10-01,113.0,106.0,-7.0
ADP_monthly_change_thousands,2024-01-04,2023-11-01,103.0,101.0,-2.0
ADP_monthly_change_thousands,2024-01-31,2022-01-01,353.0,328.0,-25.0
ADP_monthly_change_thousands,2024-01-31,2022-02-01,551.0,449.0,-102.0
ADP_monthly_change_thousands,2024-01-31,2022-03-01,287.0,380.0,93.0
ADP_monthly_change_thousands,2024-01-31,2022-04-01,198.0,284.0,86.0
ADP_monthly_change_thousands,2024-01-31,2022-05-01,188.0,204.0,16.0
ADP_monthly_change_thousands,2024-01-31,2022-06-01,465.0,485.0,20.0
ADP_monthly_change_thousands,2024-01-31,2022-07-01,458.0,478.0,20.0
ADP_monthly_change_thousands,2024-01-31,2022-08-01,266.0,282.0,16.0
ADP_monthly_change_thousands,2024-01-31,2022-09-01,262.0,277.0,15.0
ADP_monthly_change_thousands,2024-01-31,2022-10-01,183.0,200.0,17.0
ADP_monthly_change_thousands,2024-01-31,2022-11-01,212.0,195.0,-17.0
