period,n_months,payems_adp_corr,payems_icsa_corr,adp_icsa_corr
overall,46,0.3582819731154249,-0.2924345836720537,0.23186591777481516
2022,4,-0.45024066987401157,0.1291000535506049,-0.6896476293170918
2023,12,-0.2172687047643811,-0.40953184653244123,0.7391537697017324
2024,12,-0.431909269516242,-0.7243394209492847,0.04706235496115439
2025,12,0.281833341075281,0.01886398558006968,-0.6031160018796168
2026,6,0.1483047304602716,-0.5150294699181011,0.23138085052887994
