model,term,coef,std_error,t,p,n,r2,adj_r2,rmse_z,mae_z
private_adp_only_full_insample,intercept,1.3877787807814457e-16,0.1414542997701898,9.810792482349889e-16,0.9999999999999992,46,0.1000252999752701,0.07957132952016266,0.9383016746403514,0.6944684555056649
private_adp_only_full_insample,z_adp,0.31626776626028485,0.14301737815771717,2.2113939601906982,0.03224976077208133,46,0.1000252999752701,0.07957132952016266,0.9383016746403514,0.6944684555056649
government_claims_lag_full_insample,intercept,5.204170427930421e-17,0.14775981831161455,3.5220471217386106e-16,0.9999999999999997,46,0.04031994202226452,-0.004316339744141917,0.9689259249404455,0.6653835034063256
government_claims_lag_full_insample,z_claims,0.009571892801077439,0.15009260758476795,0.06377324609855627,0.9494463276638411,46,0.04031994202226452,-0.004316339744141917,0.9689259249404455,0.6653835034063256
government_claims_lag_full_insample,z_usgovt_lag1,0.19964872395611974,0.15009260758476797,1.3301702673355442,0.19047449547652917,46,0.04031994202226452,-0.004316339744141917,0.9689259249404455,0.6653835034063256
