model,test_n,test_start,test_end,rmse_k,mae_k,oos_r2,direction_accuracy
private_adp_only_oos,22,2024-09-01,2026-06-01,102.45373136912889,80.77819043427472,-0.6950915830183362,0.9090909090909091
government_claims_lag_oos,22,2024-09-01,2026-06-01,49.43054098320233,30.745238127322374,-0.2998236304156794,0.6363636363636364
baseline_sum_payems_oos,22,2024-09-01,2026-06-01,127.8053037317362,96.64815245989334,-0.7794006387203785,0.9090909090909091
