term,coefficient,std_error,t_stat,p_value,n,r2,adj_r2,rmse,mae,corr,start_target_date,end_target_date
intercept,578.9845281086557,218.63644833087898,2.6481610569909866,0.011193215210787085,46,0.12300443557972796,0.10307271820653996,74.60825675090133,56.87165740952638,-0.3507198819281966,2022-08-01,2026-06-01
claims_avg_mixed_thousands,-2.460473066162912,0.9904455139241979,-2.4842084007371454,0.016862631417030767,46,0.12300443557972796,0.10307271820653996,74.60825675090133,56.87165740952638,-0.3507198819281966,2022-08-01,2026-06-01
