sample,start_month,end_month,n,alpha,beta,corr,r2,rmse
full,2020-02-01,2026-06-01,77,-136.78904499930016,2.89060209008047,0.9362710858150198,0.8766035461332362,860.880448191158
from_2021-01,2021-01-01,2026-06-01,66,111.8767107311505,0.7554907726534587,0.5800533213048903,0.3364618555568343,164.57323626761124
from_2022-09,2022-09-01,2026-06-01,46,128.4103558049295,0.4148912770022728,0.3582819731154249,0.128365972259482,104.74565250989673
from_2023-01,2023-01-01,2026-06-01,42,126.78961298936572,0.3979179652705459,0.3388723352933331,0.1148344596271571,108.43023771456579
