window_months,window_start,window_end,n,alpha,beta,corr,r2,rmse,latest_adp_initial,latest_payems_initial,latest_fitted,latest_residual
12,2020-02-01,2021-01-01,12,1089.4149896008025,3.2078043644187537,0.9672940779441783,0.935657833225878,1552.0629995066386,-109.0,49.0,739.7643138791584,-690.7643138791584
12,2020-03-01,2021-02-01,12,1038.5885818316565,3.1909686680560756,0.9655679152251441,0.9323213989122311,1592.1986048744923,341.0,379.0,2126.7088976387786,-1747.7088976387786
12,2020-04-01,2021-03-01,12,968.5645703676029,3.1711515652280124,0.9646593147074023,0.930567593451755,1617.238285781746,297.0,916.0,1910.3965852403226,-994.3965852403226
12,2020-05-01,2021-04-01,12,1307.4194087954852,-2.4663347022605744,-0.3643962517123415,0.132784628262004,1238.1060451179692,218.0,266.0,769.75844370268,-503.75844370268
12,2020-06-01,2021-05-01,12,1184.3432510161656,-1.7024034060377522,-0.2797057378807439,0.07823529980341148,1217.1235056236173,488.0,559.0,353.5703888697425,205.4296111302575
12,2020-07-01,2021-06-01,12,672.7105286489426,-0.2685033040558911,-0.10621959793567075,0.011282602985615564,516.9318419949867,292.0,850.0,594.3075638646224,255.69243613537765
12,2020-08-01,2021-07-01,12,265.48504826711627,1.2588370864213414,0.5992281299612972,0.35907435173691316,326.92058872301436,618.0,943.0,1043.4463676755051,-100.44636767550514
12,2020-09-01,2021-08-01,12,249.2466201516496,0.8093149017613038,0.5397724999725269,0.2913543517265914,281.7900803332423,633.0,235.0,761.5429529665549,-526.5429529665549
12,2020-10-01,2021-09-01,12,184.69148181448767,0.8533788295484491,0.5583086767454019,0.31170857852920175,279.6161351481047,336.0,194.0,471.4267685427666,-277.4267685427666
12,2020-11-01,2021-10-01,12,162.78151069780523,0.8804416704744593,0.5821491357830991,0.3388976162930093,270.5495999949978,306.0,531.0,432.1966618629898,98.8033381370102
12,2020-12-01,2021-11-01,12,174.35725872179705,0.7508319252559388,0.4965421537754919,0.24655411047600417,290.2692222047913,500.0,210.0,549.7732213497665,-339.77322134976646
12,2021-01-01,2021-12-01,12,271.3920841147674,0.4839698998186633,0.30661218620983927,0.09401103273237721,284.2664943988081,366.0,199.0,448.52506744839815,-249.52506744839815
12,2021-02-01,2022-01-01,12,464.20261710216744,0.037459323426471645,0.017356000814579522,0.00030123076427557294,273.8268606632874,372.0,467.0,478.1374854168149,-11.137485416814911
12,2021-03-01,2022-02-01,12,511.69912501515046,-0.019243803412165285,-0.008745458876160003,7.648305095453445e-05,277.19960790323614,375.0,678.0,504.4826987355885,173.51730126441151
12,2021-04-01,2022-03-01,12,366.88301427246535,0.23542378347137663,0.11595996382829896,0.01344671321106039,246.34046710658052,425.0,431.0,466.9381222478004,-35.93812224780038
12,2021-05-01,2022-04-01,12,479.5462289433384,-0.0057187978560489915,-0.0025545266697803003,6.525606506602166e-06,241.20606002113652,457.0,428.0,476.932738323124,-48.932738323124
12,2021-06-01,2022-05-01,12,465.98912730088756,-0.007119795079525813,-0.003190453028644346,1.017899052790927e-05,240.9451716131184,358.0,390.0,463.4402406624173,-73.4402406624173
12,2021-07-01,2022-06-01,12,232.36765245331017,0.44666175781511475,0.21523474072088652,0.04632599361318723,206.4172033061626,380.0,372.0,402.09912042305376,-30.099120423053762
12,2021-08-01,2022-07-01,12,667.7463953488373,-0.7014147286821706,-0.439757163636756,0.19338636296984457,132.84461791766321,268.0,528.0,479.76724806201554,48.23275193798446
12,2021-09-01,2022-08-01,12,443.9841280794976,-0.13679755250385298,-0.08664200135846198,0.007506836399399641,142.01167679376874,132.0,315.0,425.92685114898904,-110.92685114898904
12,2021-10-01,2022-09-01,12,392.5490632345787,0.024454121337124685,0.01789323412166387,0.0003201678273327957,135.51120046138286,208.0,263.0,397.6355204727006,-134.6355204727006
12,2021-11-01,2022-10-01,12,321.2819454471264,0.16828839574374588,0.12894821621273486,0.016627642464446146,133.36850173637941,239.0,261.0,361.5028720298817,-100.5028720298817
12,2021-12-01,2022-11-01,12,212.85551986657904,0.5505081633668873,0.45131935428981845,0.20368915955657863,115.71184598180083,127.0,263.0,282.77005661417377,-19.770056614173768
12,2022-01-01,2022-12-01,12,172.45843781619817,0.7129470766794246,0.5985998295876283,0.3583217559823375,101.71233730422699,235.0,223.0,340.00100083586295,-117.00100083586295
12,2022-02-01,2023-01-01,12,275.07097643693896,0.4133378497754478,0.3682278643826556,0.13559176010781138,121.21345230919086,106.0,517.0,318.8847885131364,198.1152114868636
12,2022-03-01,2023-02-01,12,294.223446380284,0.24278207221800194,0.2784102607460444,0.07751227328868038,94.17469871775461,242.0,311.0,352.9767078570404,-41.976707857040424
12,2022-04-01,2023-03-01,12,278.51465078877845,0.2640055887244247,0.2765771036060075,0.07649489423908806,96.87693160389098,145.0,236.0,316.79546115382004,-80.79546115382004
12,2022-05-01,2023-04-01,12,302.77085790317216,0.10919214369953734,0.09360011134343957,0.008760980843504296,99.56541213149936,296.0,253.0,335.0917324382352,-82.09173243823523
12,2022-06-01,2023-05-01,12,318.121837343915,0.02392242163893844,0.019006967905331174,0.0003612648289543774,98.31708761697814,278.0,339.0,324.7722705595399,14.22772944046011
12,2022-07-01,2023-06-01,12,377.3344310948985,-0.292107166656611,-0.29019334461784946,0.08421217726049401,97.49561152982257,497.0,209.0,232.15716926656282,-23.157169266562818
12,2022-08-01,2023-07-01,12,378.9992816990383,-0.413924135874323,-0.519925537110392,0.2703225641395297,70.76517765577222,324.0,187.0,244.88786167575768,-57.88786167575768
12,2022-09-01,2023-08-01,12,357.3390633293863,-0.3615409742354334,-0.42461700943439856,0.18029960470101214,77.87272052210248,177.0,187.0,293.3463108897146,-106.34631088971457
12,2022-10-01,2023-09-01,12,362.94794760945547,-0.3750908788796609,-0.46618911890891823,0.21733229458907366,77.68525272557521,89.0,336.0,329.56485938916563,6.435140610834367
12,2022-11-01,2023-10-01,12,323.85747318485727,-0.25686180228919253,-0.30877697176260915,0.09534321829088732,89.95595167627381,113.0,150.0,294.8320895261785,-144.8320895261785
12,2022-12-01,2023-11-01,12,306.23502770559753,-0.20261816985304032,-0.24256763249270383,0.05883905633311559,93.59001437072652,103.0,199.0,285.3653562107344,-86.36535621073438
12,2023-01-01,2023-12-01,12,299.8453957850633,-0.18079903292058394,-0.2172687047643811,0.04720569006999198,94.41692271925636,164.0,216.0,270.1943543860875,-54.194354386087525
12,2023-02-01,2024-01-01,12,263.6055073774959,-0.07387222427216993,-0.12890457175260753,0.016616388618723166,66.01536465933285,107.0,353.0,255.7011793803737,97.2988206196263
12,2023-03-01,2024-02-01,12,264.7960542943147,-0.09763775237639781,-0.17776999029907592,0.031602169450933415,63.414772655852225,140.0,275.0,251.12676896161898,23.87323103838102
12,2023-04-01,2024-03-01,12,273.40217811560404,-0.11077109117607137,-0.19418692760220652,0.03770856285158464,65.03340968026325,184.0,303.0,253.0202973392069,49.979702660793095
12,2023-05-01,2024-04-01,12,266.98589587456235,-0.11606028314811996,-0.18876825817149706,0.03563345529310091,68.23750288696563,192.0,175.0,244.7023215101233,-69.70232151012331
12,2023-06-01,2024-05-01,12,273.225274290686,-0.185862306640603,-0.32136858263832985,0.10327776590696891,60.71901463809056,152.0,272.0,244.97420368131435,27.02579631868565
12,2023-07-01,2024-06-01,12,301.8108323182475,-0.4024960357883747,-0.37339871256866697,0.13942659854793793,59.59413500928551,150.0,206.0,241.4364269499913,-35.4364269499913
12,2023-08-01,2024-07-01,12,291.20187850931194,-0.4184421394635225,-0.19123783424803334,0.03657190924787823,70.49009587284343,122.0,114.0,240.1519374947622,-126.1519374947622
12,2023-09-01,2024-08-01,12,231.3889387705008,-0.0220849939603775,-0.009632915755492855,9.279306595255665e-05,75.169045204683,99.0,142.0,229.20252436842344,-87.20252436842344
12,2023-10-01,2024-09-01,12,153.63532872757432,0.48854167481672156,0.21243286242290954,0.04512772103719087,66.95074730325028,143.0,254.0,223.49678822636548,30.50321177363452
12,2023-11-01,2024-10-01,12,336.92963224391383,-0.850841580171585,-0.3689630238315663,0.13613371295493315,82.06212069360093,233.0,12.0,138.68354406393453,-126.68354406393453
12,2023-12-01,2024-11-01,12,368.1487556561086,-1.0200791855203621,-0.4126326575004156,0.17026571003585533,80.46673172321395,146.0,227.0,219.21719457013575,7.782805429864254
12,2024-01-01,2024-12-01,12,373.12560723891335,-1.0550320038362906,-0.4319092695162421,0.18654561709405382,80.41584507799202,122.0,256.0,244.41170277088588,11.588297229114119
12,2024-02-01,2025-01-01,12,325.92351912862233,-0.8210515699589861,-0.35812307738123,0.12825213855300244,75.36023418302578,183.0,143.0,175.67108182612787,-32.671081826127875
12,2024-03-01,2025-02-01,12,246.38709375292683,-0.38915425681371174,-0.20570965499482535,0.04231646215809015,76.45139493711373,77.0,151.0,216.42221597827103,-65.42221597827103
12,2024-04-01,2025-03-01,12,272.4530458388809,-0.6141130496429373,-0.34486251675913293,0.11893015546544317,66.99526536523173,155.0,228.0,177.2655231442256,50.7344768557744
12,2024-05-01,2025-04-01,12,247.26810100489564,-0.47762604139826503,-0.2948408086842179,0.08693110246556357,68.18816480533552,62.0,177.0,217.6552864382032,-40.655286438203206
12,2024-06-01,2025-05-01,12,208.48889850771954,-0.2961849457767393,-0.22926598429564393,0.05256289155505045,64.89391172618701,37.0,139.0,197.5300555139802,-58.53005551398019
12,2024-07-01,2025-06-01,12,180.9939635360809,-0.13516163628006742,-0.13774622931883604,0.01897402369155754,65.4319005854015,-33.0,147.0,185.45429753332314,-38.45429753332314
12,2024-08-01,2025-07-01,12,174.93323476724495,-0.11310151898112926,-0.1093179099467608,0.011950405435128153,69.20131870854611,104.0,73.0,163.17067679320752,-90.17067679320752
12,2024-09-01,2025-08-01,12,150.31830814496038,0.019626112439965017,0.01700343094662051,0.0002891166639567011,79.70720814583926,54.0,22.0,151.3781182167185,-129.3781182167185
12,2024-10-01,2025-09-01,12,140.99983031726086,0.0018068918708209686,0.0019028364037033331,3.6207863794990303e-06,73.90276796887375,-32.0,119.0,140.9420097773946,-21.94200977739459
