target_date,ADPMNUSNERSA_initial_change_k,CES9091000001_initial_change_k,CES9092000001_initial_change_k,CES9093000001_initial_change_k,PAYEMS_initial_change_k,USGOVT_initial_change_k,USPRIV_initial_change_k,ADPMNUSNERSA_initial_vintage_date,CES9091000001_initial_vintage_date,CES9092000001_initial_vintage_date,CES9093000001_initial_vintage_date,PAYEMS_initial_vintage_date,USGOVT_initial_vintage_date,USPRIV_initial_vintage_date,private_plus_government_initial_change_k,payems_minus_components_initial_k,ADPMNUSNERSA_latest_change_k,CES9091000001_latest_change_k,CES9092000001_latest_change_k,CES9093000001_latest_change_k,PAYEMS_latest_change_k,USGOVT_latest_change_k,USPRIV_latest_change_k,ADPMNUSNERSA_latest_vintage_date,CES9091000001_latest_vintage_date,CES9092000001_latest_vintage_date,CES9093000001_latest_vintage_date,PAYEMS_latest_vintage_date,USGOVT_latest_vintage_date,USPRIV_latest_vintage_date,private_plus_government_latest_change_k,payems_minus_components_latest_k
2024-09-01,143.0,2.0,13.0,16.0,254.0,31.0,223.0,2024-10-02,2024-10-04,2024-10-04,2024-10-04,2024-10-04,2024-10-04,2024-10-04,254.0,0.0,-21.0,1.0,11.0,1.0,155.0,13.0,142.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,155.0,0.0
2024-10-01,233.0,1.0,18.0,21.0,12.0,40.0,-28.0,2024-10-30,2024-11-01,2024-11-01,2024-11-01,2024-11-01,2024-11-01,2024-11-01,12.0,0.0,-12.0,1.0,13.0,23.0,33.0,37.0,-4.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,33.0,0.0
2024-11-01,146.0,-2.0,20.0,15.0,227.0,33.0,194.0,2024-12-04,2024-12-06,2024-12-06,2024-12-06,2024-12-06,2024-12-06,2024-12-06,227.0,0.0,102.0,-4.0,10.0,12.0,134.0,18.0,116.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,134.0,0.0
2024-12-01,122.0,6.0,10.0,17.0,256.0,33.0,223.0,2025-01-08,2025-01-10,2025-01-10,2025-01-10,2025-01-10,2025-01-10,2025-01-10,256.0,0.0,157.0,0.0,13.0,12.0,237.0,25.0,212.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,237.0,0.0
2025-01-01,183.0,9.0,2.0,21.0,143.0,32.0,111.0,2025-02-05,2025-02-07,2025-02-07,2025-02-07,2025-02-07,2025-02-07,2025-02-07,143.0,0.0,140.0,1.0,10.0,17.0,-48.0,28.0,-76.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,-48.0,0.0
2025-02-01,77.0,-10.0,1.0,20.0,151.0,11.0,140.0,2025-03-05,2025-03-07,2025-03-07,2025-03-07,2025-03-07,2025-03-07,2025-03-07,151.0,0.0,14.0,-13.0,0.0,15.0,42.0,2.0,40.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,42.0,0.0
2025-03-01,155.0,-4.0,6.0,17.0,228.0,19.0,209.0,2025-04-02,2025-04-04,2025-04-04,2025-04-04,2025-04-04,2025-04-04,2025-04-04,228.0,0.0,-53.0,-9.0,-2.0,11.0,67.0,0.0,67.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,67.0,0.0
2025-04-01,62.0,-9.0,6.0,13.0,177.0,10.0,167.0,2025-04-30,2025-05-02,2025-05-02,2025-05-02,2025-05-02,2025-05-02,2025-05-02,177.0,0.0,-23.0,-12.0,-1.0,22.0,108.0,9.0,99.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,108.0,0.0
2025-05-01,37.0,-22.0,0.0,21.0,139.0,-1.0,140.0,2025-06-04,2025-06-06,2025-06-06,2025-06-06,2025-06-06,2025-06-06,2025-06-06,139.0,0.0,-24.0,-24.0,-7.0,24.0,13.0,-7.0,20.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,13.0,0.0
2025-06-01,-33.0,-7.0,47.0,33.0,147.0,73.0,74.0,2025-07-02,2025-07-03,2025-07-03,2025-07-03,2025-07-03,2025-07-03,2025-07-03,147.0,0.0,-1.0,-8.0,1.0,32.0,-20.0,25.0,-45.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,-20.0,0.0
2025-07-01,104.0,-12.0,5.0,-3.0,73.0,-10.0,83.0,2025-07-30,2025-08-01,2025-08-01,2025-08-01,2025-08-01,2025-08-01,2025-08-01,73.0,0.0,77.0,-9.0,-12.0,20.0,64.0,-1.0,65.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,64.0,0.0
2025-08-01,54.0,-15.0,-13.0,12.0,22.0,-16.0,38.0,2025-09-04,2025-09-05,2025-09-05,2025-09-05,2025-09-05,2025-09-05,2025-09-05,22.0,0.0,49.0,-19.0,-17.0,-14.0,-70.0,-50.0,-20.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,-70.0,0.0
2025-09-01,-32.0,-3.0,16.0,9.0,119.0,22.0,97.0,2025-10-01,2025-11-20,2025-11-20,2025-11-20,2025-11-20,2025-11-20,2025-11-20,119.0,0.0,88.0,-2.0,10.0,0.0,76.0,8.0,68.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,76.0,0.0
2025-10-01,42.0,-162.0,-12.0,17.0,-105.0,-157.0,52.0,2025-11-05,2025-12-16,2025-12-16,2025-12-16,2025-12-16,2025-12-16,2025-12-16,-105.0,0.0,20.0,-166.0,-4.0,17.0,-140.0,-153.0,13.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,-140.0,0.0
2025-11-01,-32.0,-6.0,3.0,-2.0,64.0,-5.0,69.0,2025-12-03,2025-12-16,2025-12-16,2025-12-16,2025-12-16,2025-12-16,2025-12-16,64.0,0.0,74.0,-15.0,-12.0,-4.0,41.0,-31.0,72.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,41.0,0.0
2025-12-01,41.0,2.0,-7.0,18.0,50.0,13.0,37.0,2026-01-07,2026-01-09,2026-01-09,2026-01-09,2026-01-09,2026-01-09,2026-01-09,50.0,0.0,37.0,-11.0,-5.0,6.0,-17.0,-10.0,-7.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,-17.0,0.0
2026-01-01,22.0,-34.0,-18.0,10.0,130.0,-42.0,172.0,2026-02-04,2026-02-11,2026-02-11,2026-02-11,2026-02-11,2026-02-11,2026-02-11,130.0,0.0,11.0,-37.0,3.0,14.0,160.0,-20.0,180.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,160.0,0.0
2026-02-01,63.0,-10.0,5.0,-1.0,-92.0,-6.0,-86.0,2026-03-04,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2026-03-06,-92.0,0.0,66.0,4.0,-6.0,-6.0,-156.0,-8.0,-148.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,-156.0,0.0
2026-03-01,62.0,-18.0,-4.0,14.0,178.0,-8.0,186.0,2026-04-01,2026-04-03,2026-04-03,2026-04-03,2026-04-03,2026-04-03,2026-04-03,178.0,0.0,61.0,-7.0,-4.0,23.0,214.0,12.0,202.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,214.0,0.0
2026-04-01,109.0,-9.0,1.0,0.0,115.0,-8.0,123.0,2026-05-06,2026-05-08,2026-05-08,2026-05-08,2026-05-08,2026-05-08,2026-05-08,115.0,0.0,105.0,-1.0,0.0,-1.0,148.0,-2.0,150.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,148.0,0.0
2026-05-01,122.0,1.0,-4.0,55.0,172.0,52.0,120.0,2026-06-03,2026-06-05,2026-06-05,2026-06-05,2026-06-05,2026-06-05,2026-06-05,172.0,0.0,122.0,3.0,-4.0,33.0,129.0,32.0,97.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,129.0,0.0
2026-06-01,98.0,2.0,4.0,2.0,57.0,8.0,49.0,2026-07-01,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,57.0,0.0,95.0,2.0,4.0,2.0,57.0,8.0,49.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,57.0,0.0
2026-07-01,44.0,,,,,,,2026-08-05,,,,,,,,,44.0,,,,,,,2026-08-05,,,,,,,,
