target_date,ADPMNUSNERSA_initial_change_k,CES9091000001_initial_change_k,CES9092000001_initial_change_k,CES9093000001_initial_change_k,PAYEMS_initial_change_k,USGOVT_initial_change_k,USPRIV_initial_change_k,ADPMNUSNERSA_initial_vintage_date,CES9091000001_initial_vintage_date,CES9092000001_initial_vintage_date,CES9093000001_initial_vintage_date,PAYEMS_initial_vintage_date,USGOVT_initial_vintage_date,USPRIV_initial_vintage_date,private_plus_government_initial_change_k,payems_minus_components_initial_k,ADPMNUSNERSA_latest_change_k,CES9091000001_latest_change_k,CES9092000001_latest_change_k,CES9093000001_latest_change_k,PAYEMS_latest_change_k,USGOVT_latest_change_k,USPRIV_latest_change_k,ADPMNUSNERSA_latest_vintage_date,CES9091000001_latest_vintage_date,CES9092000001_latest_vintage_date,CES9093000001_latest_vintage_date,PAYEMS_latest_vintage_date,USGOVT_latest_vintage_date,USPRIV_latest_vintage_date,private_plus_government_latest_change_k,payems_minus_components_latest_k
2021-01-01,-109.0,-24.0,31.0,36.0,49.0,43.0,6.0,2022-08-31,2021-02-05,2021-02-05,2021-02-05,2021-02-05,2021-02-05,2021-02-05,49.0,0.0,-83.0,-13.0,59.0,17.0,315.0,63.0,252.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,315.0,0.0
2021-02-01,341.0,-3.0,-39.0,-44.0,379.0,-86.0,465.0,2022-08-31,2021-03-05,2021-03-05,2021-03-05,2021-03-05,2021-03-05,2021-03-05,379.0,0.0,-199.0,-1.0,11.0,3.0,517.0,13.0,504.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,517.0,0.0
2021-03-01,297.0,7.0,46.0,83.0,916.0,136.0,780.0,2022-08-31,2021-04-02,2021-04-02,2021-04-02,2021-04-02,2021-04-02,2021-04-02,916.0,0.0,-68.0,2.0,33.0,55.0,852.0,90.0,762.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,852.0,0.0
2021-04-01,218.0,9.0,7.0,32.0,266.0,48.0,218.0,2022-08-31,2021-05-07,2021-05-07,2021-05-07,2021-05-07,2021-05-07,2021-05-07,266.0,0.0,46.0,9.0,-6.0,46.0,355.0,49.0,306.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,355.0,0.0
2021-05-01,488.0,-11.0,45.0,33.0,559.0,67.0,492.0,2022-08-31,2021-06-04,2021-06-04,2021-06-04,2021-06-04,2021-06-04,2021-06-04,559.0,0.0,72.0,-8.0,-2.0,46.0,478.0,36.0,442.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,478.0,0.0
2021-06-01,292.0,-5.0,69.0,124.0,850.0,188.0,662.0,2022-08-31,2021-07-02,2021-07-02,2021-07-02,2021-07-02,2021-07-02,2021-07-02,850.0,0.0,212.0,1.0,19.0,82.0,755.0,102.0,653.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,755.0,0.0
2021-07-01,618.0,18.0,-8.0,230.0,943.0,240.0,703.0,2022-08-31,2021-08-06,2021-08-06,2021-08-06,2021-08-06,2021-08-06,2021-08-06,943.0,0.0,573.0,5.0,-17.0,20.0,942.0,8.0,934.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,942.0,0.0
2021-08-01,633.0,3.0,-25.0,14.0,235.0,-8.0,243.0,2022-08-31,2021-09-03,2021-09-03,2021-09-03,2021-09-03,2021-09-03,2021-09-03,235.0,0.0,597.0,-4.0,-27.0,128.0,552.0,97.0,455.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,552.0,0.0
2021-09-01,336.0,0.0,-22.0,-101.0,194.0,-123.0,317.0,2022-08-31,2021-10-08,2021-10-08,2021-10-08,2021-10-08,2021-10-08,2021-10-08,194.0,0.0,714.0,-1.0,-16.0,-17.0,457.0,-34.0,491.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,457.0,0.0
2021-10-01,306.0,-3.0,-25.0,-45.0,531.0,-73.0,604.0,2022-08-31,2021-11-05,2021-11-05,2021-11-05,2021-11-05,2021-11-05,2021-11-05,531.0,0.0,679.0,-9.0,-5.0,-61.0,801.0,-75.0,876.0,2026-08-05,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,2026-07-02,801.0,0.0
