vintage,sample,start,end,n,lag1_corr,ar1_intercept,ar1_beta,ar1_t,ar1_p,r2,rmse,mae,series
initial,all,2020-02-01,2026-06-01,77,0.406636653942574,1.2519943033439398,0.40661015824594576,3.854657826034457,0.00024275696550374033,0.16535336832961278,143.28745772067322,66.17865388340228,
initial,exclude_covid_2020_03_to_2020_06,2020-02-01,2026-06-01,73,0.34842827688864847,15.030253331740385,0.34849588876128845,3.132185881712293,0.0025205582944207707,0.12140226413559263,81.47157447149688,47.91834505903843,
initial,from_2021_01,2021-02-01,2026-06-01,65,0.2940198465877997,17.05777498273142,0.2939781642731217,2.4416319912446833,0.017441093297646485,0.08644767018751309,54.17949517241133,35.72953104814503,
initial,from_2022_08,2022-09-01,2026-06-01,46,0.20057211556578325,18.201048884513604,0.20052748691431577,1.3580417486581795,0.18137388135420263,0.04022917354253375,37.809043403438075,25.95089039133667,
latest,all,2020-02-01,2026-06-01,77,0.3814046476826794,4.509288134141457,0.38113785505668374,3.5731630133009142,0.0006206754143969821,0.14546950527394875,132.39733031776214,60.42793996008858,
latest,exclude_covid_2020_03_to_2020_06,2020-02-01,2026-06-01,73,0.15906666572022204,23.34173076695852,0.15900751873776584,1.3576047851477973,0.17888856889629925,0.025302204143348828,74.62283305205507,43.64544342327471,
latest,from_2021_01,2021-02-01,2026-06-01,65,0.21810059278801758,19.444973271048646,0.2172562239654825,1.7738222635112408,0.08092513393836195,0.047567868574484584,45.49253537325076,32.546820153541184,
latest,from_2022_08,2022-09-01,2026-06-01,46,0.36342080850517017,14.816142390371978,0.3627790445060443,2.5875869391250554,0.013044974430648792,0.13207468405455158,40.315270049715345,27.01104654521069,
initial,all,2020-02-01,2026-06-01,77,0.13973235255108352,-1.8394369819099856,0.13962975420216422,1.2221073871121144,0.22549407355417525,0.01952513034946013,39.598882865691124,15.678970639761394,Federal
initial,from_2022_08,2022-09-01,2026-06-01,46,0.08857185044742262,-3.6774333266851036,0.08862140511834343,0.5898373743659182,0.5583167000335337,0.007844972691680718,25.114734694759107,11.216396593638382,Federal
initial,all,2020-02-01,2026-06-01,77,0.3240589319199693,0.21199632978319324,0.32371739330588006,2.9665150328150918,0.004038814341809711,0.10501419135711076,29.33540118047677,17.938143479285863,State
initial,from_2022_08,2022-09-01,2026-06-01,46,-0.07822172166798028,6.959686914500426,-0.0781945880642552,-0.5204588952558057,0.6053529898908006,0.006118637740702759,13.541788493488609,10.14134385409345,State
initial,all,2020-02-01,2026-06-01,77,0.4072832231804951,2.3451331785728864,0.4072380455220525,3.862004606769063,0.00023675218458315154,0.16587962388429334,109.05084198546463,41.79175605674557,Local
initial,from_2022_08,2022-09-01,2026-06-01,46,-0.022174769804901073,20.804052337398378,-0.02232596544715426,-0.14712695962340802,0.8837039064621632,0.0004917204159001765,14.528576037152762,11.628123343054085,Local
