target_date,USGOVT_initial_change_k,CES9091000001_initial_change_k,CES9092000001_initial_change_k,CES9093000001_initial_change_k,govt_lag1_k,govt_lag2_k,govt_lag3_k,govt_lag3_avg_k
2025-03-01,19.0,-4.0,6.0,17.0,11.0,32.0,33.0,25.333333333333332
2025-04-01,10.0,-9.0,6.0,13.0,19.0,11.0,32.0,20.666666666666668
2025-05-01,-1.0,-22.0,0.0,21.0,10.0,19.0,11.0,13.333333333333334
2025-06-01,73.0,-7.0,47.0,33.0,-1.0,10.0,19.0,9.333333333333334
2025-07-01,-10.0,-12.0,5.0,-3.0,73.0,-1.0,10.0,27.333333333333332
2025-08-01,-16.0,-15.0,-13.0,12.0,-10.0,73.0,-1.0,20.666666666666668
2025-09-01,22.0,-3.0,16.0,9.0,-16.0,-10.0,73.0,15.666666666666666
2025-10-01,-157.0,-162.0,-12.0,17.0,22.0,-16.0,-10.0,-1.3333333333333333
2025-11-01,-5.0,-6.0,3.0,-2.0,-157.0,22.0,-16.0,-50.333333333333336
2025-12-01,13.0,2.0,-7.0,18.0,-5.0,-157.0,22.0,-46.666666666666664
2026-01-01,-42.0,-34.0,-18.0,10.0,13.0,-5.0,-157.0,-49.666666666666664
2026-02-01,-6.0,-10.0,5.0,-1.0,-42.0,13.0,-5.0,-11.333333333333334
2026-03-01,-8.0,-18.0,-4.0,14.0,-6.0,-42.0,13.0,-11.666666666666666
2026-04-01,-8.0,-9.0,1.0,0.0,-8.0,-6.0,-42.0,-18.666666666666668
2026-05-01,52.0,1.0,-4.0,55.0,-8.0,-8.0,-6.0,-7.333333333333333
2026-06-01,8.0,2.0,4.0,2.0,52.0,-8.0,-8.0,12.0
