series,vintage_type,test,value,n,model,equation,term,coefficient,std_error,t_stat,p_value,r2,adj_r2,rmse,mae,start_target_date,end_target_date
USGOVT,initial,autocorrelation_lag_1,0.406636653942574,77,,,,,,,,,,,,,
USGOVT,initial,autocorrelation_lag_2,-0.17019399014908526,76,,,,,,,,,,,,,
USGOVT,initial,autocorrelation_lag_3,-0.32162153052063375,75,,,,,,,,,,,,,
,,,,77,government_initial_ar1,USGOVT_initial_change_k = alpha + govt_lag1_k,intercept,1.2519943033439398,16.547268383932963,0.07566169075734573,0.9398897162424593,0.16535336832961278,0.15422474657400753,143.28745772067322,66.17865388340228,2020-02-01,2026-06-01
,,,,77,government_initial_ar1,USGOVT_initial_change_k = alpha + govt_lag1_k,govt_lag1_k,0.40661015824594576,0.10548540923650614,3.854657826034457,0.00024275696550374033,0.16535336832961278,0.15422474657400753,143.28745772067322,66.17865388340228,2020-02-01,2026-06-01
,,,,75,government_initial_ar3,USGOVT_initial_change_k = alpha + govt_lag1_k + govt_lag2_k + govt_lag3_k,intercept,1.3482029123744663,15.712215629789073,0.08580603424372461,0.9318621245714849,0.30542361272154395,0.27607531466752466,132.37510708562837,60.44224956993894,2020-04-01,2026-06-01
,,,,75,government_initial_ar3,USGOVT_initial_change_k = alpha + govt_lag1_k + govt_lag2_k + govt_lag3_k,govt_lag1_k,0.5348698124846966,0.11825582678503803,4.522989073992669,2.3860805521414926e-05,0.30542361272154395,0.27607531466752466,132.37510708562837,60.44224956993894,2020-04-01,2026-06-01
,,,,75,government_initial_ar3,USGOVT_initial_change_k = alpha + govt_lag1_k + govt_lag2_k + govt_lag3_k,govt_lag2_k,-0.35236051259784323,0.12761608620547982,-2.7610979389423784,0.007326573362683867,0.30542361272154395,0.27607531466752466,132.37510708562837,60.44224956993894,2020-04-01,2026-06-01
,,,,75,government_initial_ar3,USGOVT_initial_change_k = alpha + govt_lag1_k + govt_lag2_k + govt_lag3_k,govt_lag3_k,-0.08711919783234735,0.11831053854805657,-0.7363604198028428,0.4639374530165636,0.30542361272154395,0.27607531466752466,132.37510708562837,60.44224956993894,2020-04-01,2026-06-01
,,,,75,government_initial_lag1_plus_lag3_avg,USGOVT_initial_change_k = alpha + govt_lag1_k + govt_lag3_avg_k,intercept,1.4960664283446719,15.76846356864738,0.09487712114954042,0.9246759858862655,0.2905474509639817,0.2708404357129812,133.7851757987498,63.741347079723454,2020-04-01,2026-06-01
,,,,75,government_initial_lag1_plus_lag3_avg,USGOVT_initial_change_k = alpha + govt_lag1_k + govt_lag3_avg_k,govt_lag1_k,0.6700211606331447,0.12375160764503276,5.414242072353704,7.718360676201485e-07,0.2905474509639817,0.2708404357129812,133.7851757987498,63.741347079723454,2020-04-01,2026-06-01
,,,,75,government_initial_lag1_plus_lag3_avg,USGOVT_initial_change_k = alpha + govt_lag1_k + govt_lag3_avg_k,govt_lag3_avg_k,-0.6395394883510629,0.17931644637656496,-3.5665411693918383,0.0006477148984573286,0.2905474509639817,0.2708404357129812,133.7851757987498,63.741347079723454,2020-04-01,2026-06-01
USGOVT,initial,ljung_box_lag_3,24.3526837583362,78,,,,,,,2.1083430398068555e-05,,,,,,
USGOVT,initial,ljung_box_lag_6,31.181921601796567,78,,,,,,,2.3400209058721777e-05,,,,,,
USGOVT,initial,ljung_box_lag_12,31.99942587318695,78,,,,,,,0.0013840673356631304,,,,,,
USGOVT,latest,autocorrelation_lag_1,0.3814046476826794,77,,,,,,,,,,,,,
USGOVT,latest,autocorrelation_lag_2,-0.05940249720032681,76,,,,,,,,,,,,,
USGOVT,latest,autocorrelation_lag_3,-0.28058231136773876,75,,,,,,,,,,,,,
