target_date,adp_release_date,adp_actual,adp_consensus,payems_release_date,payems_actual,payems_consensus,adp_sign,payems_sign,target_month
2025-06-01,2025-07-02,-33,99.0,2025-07-03,147.0,111.0,-1,1,2025-06
2025-09-01,2025-10-01,-32,52.0,2025-11-20,119.0,53.0,-1,1,2025-09
2025-10-01,2025-11-05,42,32.0,2025-12-16,-105.0,,1,-1,2025-10
2025-11-01,2025-12-03,-32,5.0,2025-12-16,64.0,51.0,-1,1,2025-11
2026-02-01,2026-03-04,63,50.0,2026-03-06,-92.0,58.0,1,-1,2026-02
