date,ticker,종목명,종가,대비,시가,고가,저가,현물가,거래량,거래대금,contract_month,is_spread,close_implied_rate,spot_implied_rate
2026-07-01,A6967000,3개월무위험금리 F 202607,0.0,0.0,0.0,0.0,0.0,97.415,0,0,202607,False,,2.5849999999999937
2026-07-01,A6968000,3개월무위험금리 F 202608,0.0,0.0,0.0,0.0,0.0,97.305,0,0,202608,False,,2.694999999999993
2026-07-01,A6969000,3개월무위험금리 F 202609,0.0,0.0,0.0,0.0,0.0,97.225,0,0,202609,False,,2.7750000000000057
2026-07-01,A696A000,3개월무위험금리 F 202610,0.0,0.0,0.0,0.0,0.0,97.085,0,0,202610,False,,2.9150000000000063
2026-07-01,A696B000,3개월무위험금리 F 202611,0.0,0.0,0.0,0.0,0.0,96.925,0,0,202611,False,,3.075000000000003
2026-07-01,A696C000,3개월무위험금리 F 202612,0.0,0.0,0.0,0.0,0.0,96.8,0,0,202612,False,,3.200000000000003
2026-07-01,A6973000,3개월무위험금리 F 202703,0.0,0.0,0.0,0.0,0.0,96.395,0,0,202703,False,,3.605000000000004
2026-07-01,A6976000,3개월무위험금리 F 202706,0.0,0.0,0.0,0.0,0.0,96.205,0,0,202706,False,,3.7950000000000017
2026-07-01,D696768S,3개월무위험금리 SP 2607-2608,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,,100.0
2026-07-01,D696769S,3개월무위험금리 SP 2607-2609,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,,100.0
2026-07-01,D69676AS,3개월무위험금리 SP 2607-2610,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,True,,100.0
2026-07-02,A6967000,3개월무위험금리 F 202607,0.0,0.0,0.0,0.0,0.0,97.42,0,0,202607,False,,2.5799999999999983
2026-07-02,A6968000,3개월무위험금리 F 202608,0.0,0.0,0.0,0.0,0.0,97.32,0,0,202608,False,,2.680000000000007
2026-07-02,A6969000,3개월무위험금리 F 202609,0.0,0.0,0.0,0.0,0.0,97.25,0,0,202609,False,,2.75
2026-07-02,A696A000,3개월무위험금리 F 202610,0.0,0.0,0.0,0.0,0.0,97.1,0,0,202610,False,,2.9000000000000057
2026-07-02,A696B000,3개월무위험금리 F 202611,0.0,0.0,0.0,0.0,0.0,96.935,0,0,202611,False,,3.0649999999999977
2026-07-02,A696C000,3개월무위험금리 F 202612,0.0,0.0,0.0,0.0,0.0,96.815,0,0,202612,False,,3.1850000000000023
2026-07-02,A6973000,3개월무위험금리 F 202703,0.0,0.0,0.0,0.0,0.0,96.43,0,0,202703,False,,3.569999999999993
