Date,KOFR,CD91,WorkbookComp,basis_bp,d_cd_bp,d_kofr_bp,d_basis_bp,ou_phi,ou_theta,ou_half_life_bd,ou_resid_std_bp,ou_stationary_std_bp,ou_z,kofr_abs_avg,cd_abs_sum,kofr_abs_sum,vol_regime,kofr_driven,event_window,short_signal,long_signal
2025-06-02,2.591,2.59,2.590999999998178,-0.1000000000000334,,,,,,,,,,,,,False,False,False,False,False
2025-06-04,2.561,2.58,2.581121197277344,1.9000000000000128,-0.9999999999999787,-3.000000000000025,2.000000000000046,,,,,,,,,,False,False,False,False,False
2025-06-05,2.513,2.58,2.542499441850508,6.700000000000017,0.0,-4.800000000000004,4.800000000000004,,,,,,,,,,False,False,False,False,False
2025-06-09,2.482,2.57,2.5350882903364265,8.799999999999963,-1.000000000000023,-3.0999999999999694,2.0999999999999464,,,,,,,3.633333333333333,2.0000000000000018,10.899999999999999,True,True,False,False,False
2025-06-10,2.562,2.56,2.5382366512868044,-0.19999999999997797,-0.9999999999999787,7.999999999999963,-8.999999999999941,,,,,,,5.2999999999999785,2.0000000000000018,15.899999999999936,True,True,False,False,False
2025-06-11,2.552,2.57,2.5397727073067977,1.7999999999999794,0.9999999999999787,-0.9999999999999787,1.9999999999999574,,,,,,,4.033333333333304,2.9999999999999805,12.09999999999991,True,True,False,False,False
2025-06-12,2.552,2.56,2.541045711498198,0.8000000000000007,-0.9999999999999787,0.0,-0.9999999999999787,,,,,,,2.9999999999999805,2.999999999999936,8.999999999999941,True,True,False,False,False
2025-06-13,2.542,2.56,2.541667341149023,1.8000000000000238,0.0,-1.000000000000023,1.000000000000023,,,,,,,0.6666666666666673,1.9999999999999574,2.0000000000000018,False,False,False,False,False
2025-06-16,2.561,2.56,2.543122630626571,-0.09999999999998899,0.0,1.9000000000000128,-1.9000000000000128,,,,,,,0.9666666666666787,0.9999999999999787,2.900000000000036,False,True,False,False,False
2025-06-17,2.561,2.56,2.5444072505547353,-0.09999999999998899,0.0,0.0,0.0,,,,,,,0.9666666666666787,0.0,2.900000000000036,False,True,False,False,False
2025-06-18,2.543,2.56,2.544491315336236,1.6999999999999904,0.0,-1.7999999999999794,1.7999999999999794,,,,,,,1.2333333333333307,0.0,3.699999999999992,False,True,False,False,False
2025-06-19,2.55,2.56,2.5449652433250494,1.000000000000023,0.0,0.6999999999999673,-0.6999999999999673,,,,,,,0.8333333333333156,0.0,2.4999999999999467,False,True,False,False,False
2025-06-20,2.523,2.56,2.542279707787732,3.699999999999992,0.0,-2.699999999999969,2.699999999999969,,,,,,,1.7333333333333052,0.0,5.199999999999916,False,True,False,False,False
2025-06-23,2.552,2.57,2.5428912103029786,1.7999999999999794,0.9999999999999787,2.8999999999999915,-1.9000000000000128,,,,,,,2.099999999999976,0.9999999999999787,6.299999999999928,True,True,False,False,False
2025-06-24,2.543,2.57,2.543065403769966,2.699999999999969,0.0,-0.8999999999999897,0.8999999999999897,,,,,,,2.16666666666665,0.9999999999999787,6.49999999999995,True,True,False,False,False
2025-06-25,2.534,2.57,2.5428568737475055,3.600000000000003,0.0,-0.9000000000000341,0.9000000000000341,,,,,,,1.5666666666666718,0.9999999999999787,4.700000000000015,False,True,False,False,False
2025-06-26,2.533,2.57,2.5426320074058673,3.699999999999992,0.0,-0.09999999999998899,0.09999999999998899,,,,,,,0.6333333333333376,0.0,1.9000000000000128,False,True,False,False,False
2025-06-27,2.552,2.57,2.5441119046225036,1.7999999999999794,0.0,1.9000000000000128,-1.9000000000000128,,,,,,,0.9666666666666787,0.0,2.900000000000036,False,True,False,False,False
2025-06-30,2.533,2.56,2.5438992018111106,2.7000000000000135,-0.9999999999999787,-1.9000000000000128,0.9000000000000341,,,,,,,1.300000000000005,0.9999999999999787,3.9000000000000146,False,True,False,False,False
2025-07-01,2.581,2.54,2.5453097839528795,-4.0999999999999925,-2.0000000000000018,4.800000000000004,-6.800000000000006,,,,,,,2.8666666666666765,2.9999999999999805,8.60000000000003,True,True,False,False,False
