trade_id,side,signal_date,entry_date,exit_date,exit_reason,entry_basis_mid,exit_basis_mid,entry_fill_basis,exit_fill_basis,signal_z,entry_theta,exit_theta,entry_stationary_std_bp,entry_half_life_bd,entry_z,exit_z,bars_held,gross_mid_pnl_bp,net_pnl_bp,cost_bp,max_favorable_bp,max_adverse_bp
1,short,2026-07-02,2026-07-03,2026-07-06,stop_z,41.40000000000001,47.10000000000001,40.90000000000001,47.60000000000001,1.3538492561597766,32.324570086128595,34.26963296310345,4.192069307605097,6.6590598694425,2.1649045490271615,3.524614892951883,2,-5.699999999999996,-6.699999999999996,1.0,0.0,-5.699999999999996
2,short,2026-07-03,2026-07-06,2026-07-10,residual_halved,47.10000000000001,39.900000000000006,46.60000000000001,40.400000000000006,1.7957957715393922,33.33997682465141,38.485846237277705,4.488273835526069,6.3094231238822385,3.065771759831983,1.4615915640939718,5,7.200000000000003,6.200000000000003,1.0,7.200000000000003,0.0
3,short,2026-07-06,2026-07-07,2026-07-10,residual_halved,46.60000000000002,39.900000000000006,46.10000000000002,40.400000000000006,2.5002199107422984,34.26963296310345,38.485846237277705,5.131695408779986,7.924581188498589,2.4027862245682283,1.097174829835648,4,6.700000000000017,5.700000000000017,1.0,6.700000000000017,0.0
