Date,KOFR,CD91,WorkbookComp,basis_cd_kofr_bp,basis_chg_bp,KOFR_91d_fwd_comp,basis_cd_fwd91_bp
2025-07-01,2.581,2.54,2.5809999999990563,-4.0999999999999925,,2.5147953873859916,2.5204612614008415
2025-07-02,2.524,2.51,2.5525892389572924,-1.4000000000000234,2.699999999999969,2.5143862736638734,-0.43862736638735633
2025-07-03,2.519,2.51,2.5415102683887434,-0.9000000000000341,0.49999999999998934,2.5149170160804295,-0.49170160804297147
2025-07-04,2.484,2.51,2.513014577132544,2.59999999999998,3.500000000000014,2.515093930475899,-0.5093930475899011
2025-07-07,2.495,2.51,2.5105883061461918,1.499999999999968,-1.100000000000012,2.5167796075272535,-0.6779607527253706
2025-07-08,2.494,2.5,2.508664870106134,0.5999999999999783,-0.8999999999999897,2.51721411104089,-1.721411104088988
2025-07-09,2.503,2.51,2.508188357919266,0.6999999999999673,0.09999999999998899,2.5176577267253877,-0.7657726725387892
2025-07-10,2.503,2.52,2.507824322015262,1.6999999999999904,1.000000000000023,2.5179998824610257,0.2000117538974333
2025-07-11,2.533,2.52,2.514035715712908,-1.29999999999999,-2.9999999999999805,2.518340093495164,0.16599065048361616
2025-07-14,2.503,2.51,2.5134075368178275,0.6999999999999673,1.9999999999999574,2.5183732606100695,-0.837326061006971
2025-07-15,2.523,2.51,2.5142091870224537,-1.3000000000000345,-2.0000000000000018,2.5188155505803858,-0.8815550580385967
2025-07-16,2.492,2.51,2.512982039442176,1.7999999999999794,3.100000000000014,2.5190256384315184,-0.9025638431518601
2025-07-17,2.463,2.51,2.5102015191463627,4.699999999999971,2.8999999999999915,2.5192578411111684,-0.9257841111168563
2025-07-18,2.465,2.52,2.5038535789238647,5.500000000000016,0.8000000000000451,2.5196227315363373,0.03772684636627055
2025-07-21,2.485,2.51,2.503118139774541,2.499999999999991,-3.000000000000025,2.520949427754151,-1.0949427754151309
2025-07-22,2.483,2.52,2.502366219459898,3.699999999999992,1.200000000000001,2.5212590328620577,-0.12590328620576408
2025-07-23,2.474,2.51,2.501295143555421,3.599999999999959,-0.1000000000000334,2.5218008422465816,-1.1800842246581844
2025-07-24,2.485,2.51,2.5007793773272797,2.499999999999991,-1.0999999999999677,2.5222320789724706,-1.2232078972470806
2025-07-25,2.465,2.51,2.497254259627213,4.499999999999993,2.0000000000000018,2.5226301439480516,-1.2630143948051842
2025-07-28,2.496,2.51,2.497374136811908,1.399999999999979,-3.100000000000014,2.5245207001447416,-1.4520700144741827
2025-07-29,2.493,2.51,2.4973879967179826,1.6999999999999904,0.30000000000001137,2.525018284035339,-1.5018284035339224
2025-07-30,2.493,2.51,2.4974066193479714,1.6999999999999904,0.0,2.525560098317552,-1.5560098317552118
2025-07-31,2.496,2.51,2.4975265170071763,1.399999999999979,-0.30000000000001137,2.526101913327311,-1.6101913327311035
2025-08-01,2.533,2.51,2.5011306154856183,-2.300000000000013,-3.699999999999992,2.5260797984013608,-1.6079798401360978
2025-08-04,2.475,2.5,2.5005487780499522,2.499999999999991,4.800000000000004,2.5250515981290107,-2.50515981290107
2025-08-05,2.485,2.5,2.5002823814222443,1.5000000000000124,-0.9999999999999787,2.525670814808131,-2.567081480813105
2025-08-06,2.528,2.5,2.50119999621452,-2.8000000000000025,-4.300000000000015,2.525737159536285,-2.573715953628497
2025-08-07,2.529,2.5,2.5021003169971694,-2.8999999999999915,-0.09999999999998899,2.5254164936770174,-2.541649367701737
2025-08-08,2.474,2.5,2.500515751446784,2.59999999999998,5.499999999999972,2.5250847706467643,-2.5084770646764287
2025-08-11,2.534,2.5,2.50148245963705,-3.399999999999981,-5.999999999999961,2.5257812950714227,-2.5781295071422683
2025-08-12,2.514,2.5,2.501941852280055,-1.399999999999979,2.0000000000000018,2.525670720643485,-2.567072064348519
2025-08-13,2.524,2.51,2.5026122527438512,-1.4000000000000234,-4.440892098500626e-14,2.525869754668528,-1.5869754668528024
2025-08-14,2.513,2.5,2.504109676526654,-1.29999999999999,0.1000000000000334,2.5259582142550348,-2.595821425503475
2025-08-18,2.504,2.51,2.5042757211209827,0.5999999999999783,1.8999999999999684,2.526583083142924,-1.6583083142924337
2025-08-19,2.492,2.52,2.504197764013476,2.8000000000000025,2.200000000000024,2.526782117672502,-0.6782117672501808
2025-08-20,2.461,2.52,2.5035162830294526,5.900000000000016,3.100000000000014,2.527014324815041,-0.701432481504094
2025-08-21,2.443,2.52,2.5025168500862147,7.699999999999996,1.7999999999999794,2.5275671997504685,-0.756719975046849
2025-08-22,2.447,2.53,2.4999645191660615,8.299999999999974,0.5999999999999783,2.528219593389391,0.17804066106088534
2025-08-25,2.495,2.53,2.500043703452615,3.49999999999997,-4.800000000000004,2.53040869201221,-0.040869201221038765
2025-08-26,2.495,2.53,2.5001231126956514,3.49999999999997,0.0,2.530718304291465,-0.07183042914653548
2025-08-27,2.504,2.53,2.500358513715091,2.59999999999998,-0.8999999999999897,2.531038974398181,-0.1038974398181125
2025-08-28,2.494,2.53,2.5004186930089105,3.599999999999959,0.9999999999999787,2.5312490687211713,-0.12490687211714757
