window,start,end,obs,kofr_abs_change_avg_bp,kofr_change_std_bp,kofr_change_std_annualized_bp,basis_mean_bp,basis_min_bp,basis_max_bp
full_sample,2025-06-04,2026-07-27,281,1.733451957295373,2.7791163243887405,44.1171039531151,18.03665480427046,-4.400000000000004,47.10000000000001
pre_event_60_obs,2026-03-23,2026-06-19,61,1.3442622950819674,2.019750836767483,32.06255054640823,31.393442622950815,23.599999999999977,41.1
event_2026_06_20_to_07_15,2026-06-22,2026-07-15,18,2.1333333333333324,3.0076807993618084,47.7454525090518,38.74444444444444,31.699999999999974,47.10000000000001
event_2026_07_01_to_07_15,2026-07-01,2026-07-15,11,3.1181818181818173,3.8777453617932585,61.557299249634895,39.59090909090909,31.699999999999974,47.10000000000001
