model,start_month,end_month,n,equation,alpha,beta,r2,adj_r2,corr,se_alpha,se_beta,t_alpha,t_beta,rmse,residual_std_error,x_mean,x_sample_std,y_mean,y_sample_std
raw_initial,2020-01-01,2026-06-01,78,PAYEMS_initial = alpha + beta * ADP_initial,-179.47855215040045,2.754917935089175,0.8365109043895785,0.8343597320789151,0.9146097005770157,113.88725005839557,0.13970452165555275,-1.5759319156303537,19.71960465160561,984.5555773483497,997.4261311604134,105.12820512820512,813.6261842920051,110.14102564102564,2450.743050451026
zscore_initial,2020-01-01,2026-06-01,78,Z_PAYEMS_initial = alpha + beta * Z_ADP_initial,-2.715097597366665e-18,0.9146097005770156,0.8365109043895785,0.8343597320789151,0.9146097005770158,0.04608246063824552,0.046380732105729426,-5.891824264074358e-17,19.71960465160561,0.4017375779836061,0.40698927248895017,-6.174392372026424e-18,1.0,-8.362256755990762e-18,1.0
