model,start_month,end_month,n,equation,alpha,beta,r2,adj_r2,corr,se_alpha,se_beta,t_alpha,t_beta,rmse,residual_std_error,x_mean,x_sample_std,y_mean,y_sample_std
raw_initial,2020-02-01,2026-06-01,77,PAYEMS_initial = alpha + beta * ADP_initial,-136.78904499930016,2.89060209008047,0.8766035461332362,0.8749582600816794,0.9362710858150198,99.97299126555697,0.12522971975561895,-1.3682599997028115,23.082396860117317,860.880448191158,872.2833350694509,84.9090909090909,798.9937286793305,108.64935064935065,2466.7780272966434
zscore_initial,2020-02-01,2026-06-01,77,Z_PAYEMS_initial = alpha + beta * Z_ADP_initial,-1.8105310439777552e-17,0.93627108581502,0.8766035461332362,0.8749582600816794,0.9362710858150198,0.04029787463673401,0.040562125826401785,-4.492869810874204e-16,23.082396860117317,0.34898983153932256,0.35361241482493316,1.9036900483122103e-17,0.9999999999999999,-2.816109538923388e-19,1.0
